web,symmetry,coex.plant,coex.poll
M_PL_001,zygomorphic,0.456779972330705,0.259280989890794
M_PL_001,actinomorphic,2.00002951110028,1.32355543069941
M_PL_002,zygomorphic,0.460086500712704,0.242485554815964
M_PL_002,actinomorphic,1.77859010367613,1.37065169730845
M_PL_003,zygomorphic,0.441420234153667,0.260606639411069
M_PL_003,actinomorphic,1.74865806603489,0.999990167207423
M_PL_005,zygomorphic,0.512389795508436,0.239396463081101
M_PL_005,actinomorphic,2.80824675237464,1.38720361879321
M_PL_006,zygomorphic,0.717536448990223,0.373220764226691
M_PL_006,actinomorphic,2.17316914340117,1.08344114434507
M_PL_007,zygomorphic,0.144940592288095,0.0821109083177728
M_PL_007,actinomorphic,4.76091149258554,1.8396306558086
M_PL_008,zygomorphic,1.47726483033094,0.619260101910208
M_PL_008,actinomorphic,3.69510878039076,1.43016176028559
M_PL_015,zygomorphic,0.582511790238315,0.224823439603832
M_PL_015,actinomorphic,5.901640836796,1.73487512632087
M_PL_016,zygomorphic,0.460568057671696,0.217082846573255
M_PL_016,actinomorphic,5.23942020289733,1.29536548381411
M_PL_017,zygomorphic,0.35079633312553,0.186189063496955
M_PL_017,actinomorphic,6.98385001806099,2.11303503739259
M_PL_018,zygomorphic,0.660772894841984,0.306949541381098
M_PL_018,actinomorphic,3.28845142037412,1.53802974710342
M_PL_021,zygomorphic,0.183556617838055,0.077248458236055
M_PL_021,actinomorphic,2.80346872776762,1.02807597342563
M_PL_026,zygomorphic,0.261228622761975,0.983956494718751
M_PL_026,actinomorphic,1.57596425463129,0.999967011970608
M_PL_028,zygomorphic,0.396166741611531,0.213486337528912
M_PL_028,actinomorphic,3.78085638407031,1.36338379619269
M_PL_029,zygomorphic,0.499818618049791,0.229239022881772
M_PL_029,actinomorphic,3.06105424776251,1.29336161897367
M_PL_030,zygomorphic,0.637635846807758,0.323573067599335
M_PL_030,actinomorphic,1.63468379520753,0.890478242995546
M_PL_031,zygomorphic,0.224392027594858,0.121719281874324
M_PL_031,actinomorphic,2.29692238115375,1.63491375949038
M_PL_035,zygomorphic,0.602168771423889,0.36508171977078
M_PL_035,actinomorphic,1.72285501398142,2.48672260304949
M_PL_039,zygomorphic,0.392564341254615,0.227293667292473
M_PL_039,actinomorphic,5.44664247712791,1.47264600501651
M_PL_041,zygomorphic,0.307733000210498,0.186150445221948
M_PL_041,actinomorphic,1.98007858242071,1.70531259988101
M_PL_043,zygomorphic,0.67355854428651,0.308646272517094
M_PL_043,actinomorphic,3.37961592243446,1.46284555101744
M_PL_044,zygomorphic,0.331470654093081,0.146880315308496
M_PL_044,actinomorphic,2.30932024866069,0.970720315942616
M_PL_049,zygomorphic,0.442020158521158,0.195227870234062
M_PL_049,actinomorphic,5.77107205717649,1.33714735434021
M_PL_053,zygomorphic,0.272020006822649,0.113965234376463
M_PL_053,actinomorphic,2.2594079538882,1.11893293373684
M_PL_054,zygomorphic,0.351866987945892,0.173609169487092
M_PL_054,actinomorphic,2.17476920537976,1.13214792710143
M_PL_055,zygomorphic,0.240599057469524,0.12363432011125
M_PL_055,actinomorphic,2.57020091110202,1.16124281160908
M_PL_056,zygomorphic,0.166336252432738,0.0752234022268416
M_PL_056,actinomorphic,3.62068370085716,1.26567433631122
M_PL_057,zygomorphic,0.223374302139586,0.0853626947501008
M_PL_057,actinomorphic,3.05616298071583,1.12057015121788
M_PL_058,zygomorphic,0.450310460341132,0.267107554293013
M_PL_058,actinomorphic,4.01756204320872,1.90797544916136
M_PL_063,zygomorphic,1.44356615759587,1.43305047621592
M_PL_063,actinomorphic,2.96354223486555,5.54105546979583
M_PL_064,zygomorphic,3.02203581077502,2.28785132182867
M_PL_064,actinomorphic,0.534887429114007,0.373576094787392
M_PL_066,zygomorphic,4.06526843049727,5.91164746190391
M_PL_066,actinomorphic,2.51133279282183,8.52092856131312
M_PL_067,zygomorphic,1.3575600661768,0.997702299812412
M_PL_067,actinomorphic,1.6420437867986,0.999665397551824
M_PL_069_01,zygomorphic,1.11229093104955,1.68010841135023
M_PL_069_01,actinomorphic,1.02270186937473,0.973350064864314
M_PL_069_02,zygomorphic,1.40976352148428,1.84022715796156
M_PL_069_02,actinomorphic,1.24329322909683,1.47852234394365
M_PL_071,zygomorphic,1.01191733156553,0.917955421741819
M_PL_071,actinomorphic,1.75498335476947,0.999963475095898
M_PL_072_04,zygomorphic,0.459566286750948,0.280006201244204
M_PL_072_04,actinomorphic,2.78811607384322,1.50666979165334
kaehler_et_al_2005,zygomorphic,1.616495638984,1.13357057030152
kaehler_et_al_2005,actinomorphic,0.554958763923387,0.390366668310801
santos-et-al-2010,zygomorphic,0.928252238050553,0.692131695143636
santos-et-al-2010,actinomorphic,2.01667400528195,2.11816499601817
varassin_sazima_2012,zygomorphic,1.59438163433422,0.786265451814094
varassin_sazima_2012,actinomorphic,2.18157595289339,1.50706003741923
Robertson-1928,zygomorphic,1.20251993878642,0.596608275296188
Robertson-1928,actinomorphic,23.3903164116873,7.97530300822657
